,text
252,"Did an all nighter...cleaning up my library. A bit shabby &amp; smelling of books, dust and happiness... https://t.co/bRoVDRkRnO"
253,Pooja done....Visarjan done. Ganpati Bappa Morya!! May the happiness of the world and beyond come into every househ… https://t.co/eaXtkWHOFa
254,Wow how well he sings. Give him hug from me. Love https://t.co/3Vtg6IKeii
255,Tks @VenkyMysore for getting me a personalised pool table with TKR logo. Loving it Mr.Billiards #mrbilliardstt whil… https://t.co/ujwmypHBLz
256,May you always be as funny and full of life as you are. https://t.co/7NvKkDxuJ6
257,"It’s always nice to know that in my absence &amp; behind my back , I have surreptitiously signed so many films that eve… https://t.co/gFyXvs8JOH"
258,Sometimes we don’t land or arrive at the destination we want to. The important thing is we took off and had the Hop… https://t.co/PDLtPfzFaF
259,"Keeping up the tradition of Tae ‘Khan’ Doh in the family, the latest entrant to the Kiran Teacher ( @care141 )Fight… https://t.co/Jcz2JVdYpf"
260,Oh wow! Congratulations Daddy Cool! https://t.co/Kdpj5BULOI
261,Congratulations @Pvsindhu1 for winning the Gold at the BWF World Championships... Making us proud as a nation with… https://t.co/Yp2ZyPHB5y
262,Love u @iamkeitan @Harry0073 for the set up. @pooja_dadlani for making it happen. @mitublange @iffmelb for the thou… https://t.co/AzQcHNHis7
263,"The trailer of our first @netflix series #BardOfBlood is here. A thrilling tale of espionage, vengeance, love and d… https://t.co/InES9d06Tm"
264,RT @NetflixIndia: Where can we sign up to get interrogated by @iamsrk? https://t.co/L8vGhO5hFr
265,"RT @NetflixIndia: Still waiting on that callback, @iamsrk. https://t.co/JJygsX9Wfw"
266,RT @NetflixIndia: We made @iamsrk an offer he couldn’t refuse. https://t.co/qyO2Nvdf2p
267,RT @NetflixIndia: @iamsrk thought cameras would make him feel more comfortable so we added some CCTV cameras. https://t.co/A8rBfW3S77
268,It’s such a wonderful university. Please use this opportunity girls. Lots of luck to all of you. https://t.co/xHxRPHXmKh
269,"May today and every day hereafter bring peace of mind, patience in our hearts, prosperity in our actions and prayer… https://t.co/SFV3Cu6DrW"
270,On the way to @latrobe University.. Thank you for the kind gesture of offering a scholarship to a girl student from… https://t.co/Vrom9dNAz5
271,What an exciting teaser! Wishing Karan and Sahher all the best with this beautiful film. @iamsunnydeol has made thi… https://t.co/TQozJRkOQx
272,Beautiful homes are made by beautiful home makers. Bas! https://t.co/PXTYIHsrmm
273,"Ready ho jaiye, Bauua ki Meerut to Mars wali mohabbat dekhne ke liye, Catch the World TV Premiere of ZERO, tonight… https://t.co/Ucadp8qOMc"
274,A decade of D’Decor and a family like relationship. It’s so satisfying making beautiful homes. Thank u so much… https://t.co/HErjrDPJEA
275,A decade of D’Decor and a family like relationship. It’s so satisfying making beautiful homes. Thank u so much… https://t.co/iAaMP2Hb3E
276,Perfect Handstand. Perfect Harmony. Perfect Sunset. And Perfect wife!! Thank you @JumeirahJV and @MakePlansHols for… https://t.co/nhRlXfIDcQ
277,Chaand Taare todh laoon. Saari duniya par main Chhaoon! To do that requires hours &amp; hours of painstaking work &amp; int… https://t.co/1vZgPrCjMD
278,Feeling bad having to leave Maldives and especially all the wonderful people at Jumeirah Vittaveli. Thank u for a l… https://t.co/m5LkIQyDZ5
279,So happy to hear that so many r enjoying Lion King. A special thanx to my coactors &amp; friends for bringing this film… https://t.co/UzLCg9nAmt
280,i’m scared to say that #typewriter is now screaming on @netflix .. goodluck @sujoy_g ... hope it doesn’t come back… https://t.co/Jk4E5I8a9w
281,You are the best. His Sacred Games though is wicked!! https://t.co/B2l5Bjx7VH
282,"RT @Ishikamohan: This is so hard but so right!
I couldn’t keep 😷.
@iamsrk I’ve always said it’s magic working with you:). 
Correction-the i…"
283,Ishika has taken some of the nicest pics of mine &amp; the film. This is so good! https://t.co/RQKUCgCe1W
284,Young Lions don’t tweet so on behalf of Simba #AryanKhan I want to thank u all for appreciating his effort. Also th… https://t.co/bmg7PgJIyq
285,Mera Simba.. #TheLionKing @disneyfilmindia https://t.co/kC66BMBOVE
286,"27th September, get ready for the action-packed series #BardOfBlood on @NetflixIndia! 
@RedChilliesEnt… https://t.co/ema6Ok6fZb"
287,"My friend Helmet pehenkar, On Drive..Off drive &amp; Straight drive, karna aap se zyaada behtar kaun sikha sakta hai! W… https://t.co/cy1qeJNdrS"
288,Thank u for your wishes my friend. U have always been a guiding light and so encouraging to the kids....and the str… https://t.co/UkfCDFnTOE
289,Last day at school. To adding new experiences and colours to your life ahead.... https://t.co/NnAIUUYkG8
